Period,Average House Price,Rate,CPI,FTSE 100,Gold,Net Debt,Nominal Pay Growth,Consumer Spending,Non-financial UK Net Return,CPI Index
1980-01-01,19273,16.0,14.7,997.5,288.11,88.6,,128436.0,,
1980-02-01,19273,16.0,15.1,997.5,280.25,88.6,,128436.0,,
1980-03-01,19273,16.0,15.7,997.5,228.51,98.2,,128436.0,,
1980-04-01,20044,16.0,17.7,997.5,229.36,98.2,,125085.0,,
1980-05-01,20044,16.0,17.8,997.5,228.36,98.2,,125085.0,,
1980-06-01,20044,16.0,17.4,997.5,277.32,98.2,,125085.0,,
1980-07-01,20857,16.0,14.2,997.5,262.16,98.2,,126726.0,,
1980-08-01,20857,16.0,13.7,997.5,263.41,98.2,,126726.0,,
1980-09-01,20857,16.0,13.3,997.5,279.27,98.2,,126726.0,,
1980-10-01,20897,16.0,12.8,997.5,258.16,98.2,,124309.0,,
1980-11-01,20897,14.0,12.8,997.5,262.83,98.2,,124309.0,,
1980-12-01,20897,14.0,12.5,997.5,246.65,98.2,,124309.0,,
1981-01-01,20938,14.0,11.7,997.5,213.98,98.2,,126574.0,,
1981-02-01,20938,14.0,11.7,997.5,221.77,98.2,,126574.0,,
1981-03-01,20938,12.0,12.3,997.5,228.89,113.8,,126574.0,,
1981-04-01,21507,12.0,11.7,997.5,225.53,113.8,,126512.0,,
1981-05-01,21507,12.0,11.5,997.5,231.52,113.8,,126512.0,,
1981-06-01,21507,12.0,11.1,997.5,220.67,113.8,,126512.0,,
1981-07-01,21852,12.0,10.7,997.5,220.47,113.8,,126598.0,,
1981-08-01,21852,12.69,11.0,997.5,229.85,113.8,,126598.0,,
1981-09-01,21852,14.0,11.0,997.5,237.53,113.8,,126598.0,,
1981-10-01,21425,15.13,11.2,997.5,229.57,113.8,,126245.0,,
1981-10-01,21425,15.0,11.2,997.5,229.57,113.8,,126245.0,,
1981-11-01,21425,14.56,11.0,997.5,212.02,113.8,,126245.0,,
1981-11-01,21425,14.63,11.0,997.5,212.02,113.8,,126245.0,,
1981-11-01,21425,15.06,11.0,997.5,212.02,113.8,,126245.0,,
1981-12-01,21425,14.38,10.9,997.5,208.22,113.8,,126245.0,,
1982-01-01,20897,13.88,10.9,997.5,205.74,113.8,,126668.0,,
1982-01-01,20897,14.0,10.9,997.5,205.74,113.8,,126668.0,,
1982-01-01,20897,14.13,10.9,997.5,205.74,113.8,,126668.0,,
1982-01-01,20897,14.25,10.9,997.5,205.74,113.8,,126668.0,,
1982-01-01,20897,14.31,10.9,997.5,205.74,113.8,,126668.0,,
1982-02-01,20897,13.63,10.2,997.5,199.07,113.8,,126668.0,,
1982-02-01,20897,13.81,10.2,997.5,199.07,113.8,,126668.0,,
1982-03-01,20897,13.25,9.1,997.5,179.57,125.2,,126668.0,,
1982-04-01,21811,13.13,8.6,997.5,201.37,125.2,,126571.0,,
1982-04-01,21811,13.0,8.6,997.5,201.37,125.2,,126571.0,,
1982-04-01,21811,13.13,8.6,997.5,201.37,125.2,,126571.0,,
1982-05-01,21811,13.13,8.7,997.5,181.65,125.2,,126571.0,,
1982-06-01,21811,12.63,8.3,997.5,182.1,125.2,,126571.0,,
1982-07-01,22360,11.63,7.9,997.5,197.3,125.2,,128702.0,,
1982-07-01,22360,11.75,7.9,997.5,197.3,125.2,,128702.0,,
1982-07-01,22360,11.81,7.9,997.5,197.3,125.2,,128702.0,,
1982-07-01,22360,11.94,7.9,997.5,197.3,125.2,,128702.0,,
1982-07-01,22360,12.06,7.9,997.5,197.3,125.2,,128702.0,,
1982-07-01,22360,12.13,7.9,997.5,197.3,125.2,,128702.0,,
1982-07-01,22360,12.25,7.9,997.5,197.3,125.2,,128702.0,,
1982-07-01,22360,12.5,7.9,997.5,197.3,125.2,,128702.0,,
1982-08-01,22360,10.63,7.4,997.5,239.66,125.2,,128702.0,,
1982-08-01,22360,10.88,7.4,997.5,239.66,125.2,,128702.0,,
1982-08-01,22360,11.0,7.4,997.5,239.66,125.2,,128702.0,,
1982-08-01,22360,11.13,7.4,997.5,239.66,125.2,,128702.0,,
1982-08-01,22360,11.25,7.4,997.5,239.66,125.2,,128702.0,,
