Period,Average House Price,Rate,CPI,FTSE 100,Gold,Net Debt,Nominal Pay Growth,Consumer Spending,Non-financial UK Net Return
2007-01-01,176758,5.25,2.7,6310.89990234375,332.33,518.2,5.4,287582.0,9.4
2007-02-01,177261,5.25,2.8,6282.2001953125,338.92,517.9,6.2,287582.0,9.4
2007-03-01,178636,5.25,3.1,6116.0,337.4,535.2,5.8,287582.0,9.4
2007-04-01,182243,5.25,2.8,6315.5,338.53,532.2,5.3,290739.0,10.4
2007-05-01,184330,5.5,2.5,6419.60009765625,333.2,539.8,4.5,290739.0,10.4
2007-06-01,186348,5.5,2.4,6676.7001953125,324.22,551.2,4.4,290739.0,10.4
2007-07-01,188691,5.75,1.9,6590.60009765625,327.5,539.0,4.6,296387.0,10.2
2007-08-01,189786,5.75,1.8,6250.60009765625,333.16,543.8,4.8,296387.0,10.2
2007-09-01,190032,5.75,1.8,6315.2001953125,364.69,553.0,5.2,296387.0,10.2
2007-10-01,189589,5.75,2.1,6506.2998046875,380.05,548.7,5.0,296111.0,11.0
2007-11-01,189489,5.75,2.1,6586.10009765625,381.05,558.8,4.9,296111.0,11.0
2007-12-01,189193,5.5,2.1,6386.60009765625,418.84,574.7,4.1,296111.0,11.0
2008-01-01,185782,5.5,2.2,6416.7001953125,464.41,552.2,3.8,297718.0,11.3
2008-02-01,184185,5.25,2.5,6029.2001953125,488.39,557.8,3.6,297718.0,11.3
2008-03-01,182845,5.25,2.5,5818.60009765625,469.69,567.2,4.1,297718.0,11.3
2008-04-01,183148,5.0,3.0,5852.60009765625,439.78,569.8,4.6,293816.0,11.0
2008-05-01,184267,5.0,3.3,6087.2998046875,448.21,581.3,4.7,293816.0,11.0
2008-06-01,181831,5.0,3.8,6007.60009765625,467.43,600.1,4.2,293816.0,11.0
2008-07-01,179845,5.0,4.4,5479.89990234375,463.43,602.7,3.7,288567.0,11.4
2008-08-01,176092,5.0,4.7,5354.7001953125,456.7,628.3,3.3,288567.0,11.4
2008-09-01,171660,5.0,5.2,5602.7998046875,496.23,681.2,3.1,288567.0,11.4
2008-10-01,168177,4.5,4.5,4959.60009765625,452.27,689.6,3.1,281229.0,9.9
2008-11-01,163447,3.0,4.1,4443.2998046875,530.81,701.6,2.8,281229.0,9.9
2008-12-01,160954,2.0,3.1,4065.5,604.94,749.9,2.8,281229.0,9.9
2009-01-01,157234,1.5,3.0,4561.7998046875,637.79,749.7,1.0,280072.0,9.1
