Period,Net Debt,CPI Index,House Price,S&P 500 Adj Close
1987-04-01,2309.296,112.7,64.973,292.3800048828125
1987-07-01,2350.277,113.8,66.786,302.94000244140625
1987-10-01,2431.715,115.0,67.903,327.3299865722656
1988-07-01,2602.183,118.5,71.686,271.7799987792969
1990-10-01,3364.82,133.4,76.91199999999999,314.94000244140625
1991-04-01,3537.988,135.1,75.315,371.2999877929688
1991-07-01,3665.303,136.2,76.517,377.9200134277344
1991-10-01,3801.698,137.2,76.29,389.2000122070313
1992-04-01,3984.656,139.4,76.08,404.2300109863281
1992-07-01,4064.621,140.5,76.711,412.8800048828125
1992-10-01,4177.009,141.7,76.598,416.2900085449219
1993-04-01,4351.95,143.8,76.66,450.2999877929688
1993-07-01,4411.489,144.5,77.885,449.0199890136719
1993-10-01,4535.687,145.6,78.172,461.2799987792969
1994-07-01,4692.75,148.4,80.063,446.2000122070313
1996-04-01,5161.076,156.1,82.125,653.72998046875
1996-07-01,5224.811,157.0,83.419,675.8800048828125
1996-10-01,5323.172,158.2,83.62899999999999,689.0800170898438
1997-04-01,5376.151,159.9,84.321,759.6400146484375
1997-07-01,5413.146,160.4,85.84100000000001,891.030029296875
1997-10-01,5502.388,161.5,86.40799999999999,955.4099731445312
1998-04-01,5547.935,162.2,88.55799999999999,1108.1500244140625
1998-07-01,5526.193,163.2,90.859,1148.56005859375
1998-10-01,5614.217,163.9,91.999,986.3900146484376
1999-04-01,5638.78,165.9,94.436,1293.719970703125
1999-07-01,5656.271,166.7,97.192,1380.9599609375
1999-10-01,5776.091,168.1,98.832,1282.81005859375
2001-10-01,5943.439,177.6,115.681,1038.550048828125
2002-04-01,6126.469,179.3,119.209,1146.5400390625
2002-07-01,6228.236,180.0,123.687,968.6500244140624
2002-10-01,6405.707,181.2,126.137,847.9099731445312
2003-04-01,6670.121,183.2,130.488,858.47998046875
2003-07-01,6783.32,183.7,134.64700000000002,982.3200073242188
2003-10-01,6997.964,184.9,137.975,1018.219970703125
2004-04-01,7274.335,187.4,146.18,1132.1700439453125
2004-07-01,7379.053,189.1,152.33700000000002,1128.93994140625
2004-10-01,7596.143,190.8,156.298,1131.5
2005-04-01,7836.496,193.7,166.99900000000002,1172.9200439453125
2005-07-01,7932.71,194.9,174.09799999999998,1194.43994140625
2007-10-01,9229.172,209.19,177.53,1547.0400390625
2008-04-01,9492.006,213.942,167.324,1370.1800537109375
2008-07-01,10024.725,219.016,165.713,1284.9100341796875
2008-10-01,10699.805,216.995,159.16299999999998,1161.06005859375
2009-04-01,11545.275,212.709,146.94299999999998,811.0800170898438
2009-07-01,11909.828,214.726,150.749,923.3300170898438
2009-10-01,12311.349,216.509,148.585,1029.8499755859375
2010-04-01,13201.792,217.403,145.404,1178.0999755859375
2010-07-01,13561.622,217.605,147.566,1027.3699951171875
2010-10-01,14025.215,219.035,143.13299999999998,1146.239990234375
2011-04-01,14343.087,224.093,139.16,1332.4100341796875
2011-07-01,14790.34,225.395,142.343,1339.6700439453125
2012-10-01,16432.73,231.638,143.968,1444.489990234375
2013-04-01,16738.32,231.797,150.969,1562.1700439453125
2013-07-01,16738.18,232.9,158.28799999999998,1614.9599609375
2013-10-01,17156.119,233.669,159.558,1695.0
2014-04-01,17632.606,236.468,162.969,1885.52001953125
2014-07-01,17824.071,237.498,167.138,1973.3199462890625
2014-10-01,18141.444,237.43,166.91099999999997,1946.1600341796875
2015-04-01,18151.998,236.222,169.97,2059.68994140625
2015-07-01,18150.618,238.034,174.49599999999998,2077.419921875
2015-10-01,18922.179,237.733,175.051,1923.8199462890625
2016-04-01,19381.591,238.992,178.497,2072.780029296875
2016-07-01,19573.445,240.101,183.02,2102.949951171875
2018-10-01,21974.096,252.772,205.373,2924.590087890625
2019-04-01,22023.283,255.211,207.698,2867.18994140625
2019-07-01,22719.402,255.685,211.349,2964.330078125
2019-10-01,23201.38,257.244,211.979,2940.25
2020-04-01,26477.241,256.092,217.254,2470.5
2020-07-01,26945.391,258.278,221.585,3115.860107421875
2020-10-01,27747.798,260.286,229.83,3380.800048828125
2021-04-01,28529.436,266.67,249.856,4019.8701171875
2021-07-01,28428.919,271.764,265.545,4319.93994140625
2021-10-01,29617.215,276.522,273.682,4357.0400390625
2022-04-01,30568.582,288.611,301.728,4545.85986328125
2022-07-01,30928.912,294.628,307.136,3825.330078125
